,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
290,26,3,40,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,14
291,26,3,50,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,15
292,26,3,60,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,22
293,26,3,70,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,33
294,26,3,80,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,36
295,26,3,90,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,39
296,26,3,100,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,43
297,27,2,0,20,20,0.04,0.05,20,True,30,4,150,150,0.25,150,150
298,27,2,10,20,20,0.04,0.05,20,True,30,4,150,150,0.25,169,17
299,27,2,20,20,20,0.04,0.05,20,True,30,4,150,150,0.25,90,3
300,27,2,30,20,20,0.04,0.05,20,True,30,4,150,150,0.25,25,0
301,27,2,40,20,20,0.04,0.05,20,True,30,4,150,150,0.25,6,0
302,27,2,50,20,20,0.04,0.05,20,True,30,4,150,150,0.25,3,0
303,27,2,60,20,20,0.04,0.05,20,True,30,4,150,150,0.25,2,0
304,27,2,70,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
305,27,2,80,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
306,27,2,90,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
307,27,2,100,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
308,28,3,0,20,20,0.04,0.05,20,True,30,4,100,100,0.25,100,100
309,28,3,10,20,20,0.04,0.05,20,True,30,4,100,100,0.25,113,26
310,28,3,20,20,20,0.04,0.05,20,True,30,4,100,100,0.25,67,5
311,28,3,30,20,20,0.04,0.05,20,True,30,4,100,100,0.25,24,4
312,28,3,40,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,8
313,28,3,50,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,6
314,28,3,60,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,7
315,28,3,70,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,5
316,28,3,80,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,7
317,28,3,90,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,9
318,28,3,100,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,12
